id,author,length,created_at,like_count,retweet_count,full_text,source
1273970286312984576,Bloomberg,140,2020-06-19 13:26:00,0,329,"RT @MikeBloomberg: We cannot wish equality into existence.

We cannot pretend that time will heal old wounds.

Healing begins with justice,…",Twitter Web App
1273674457874300930,Bloomberg,149,2020-06-18 17:50:29,7,1,"This story, part of a monthly series appearing on @TheTerminal, showcases changes in female representation on boards of companies in the S&amp;P 500.",Twitter for Advertisers
1273671118512181249,Bloomberg,139,2020-06-18 17:37:12,0,32,"RT @CityLab: We have a new look!

Launching today, Bloomberg CityLab continues to be committed to telling the story of the world's cities,…",Twitter Web App
1272613016559902721,Bloomberg,254,2020-06-15 19:32:41,213,46,"Today, #SCOTUS ruled that any ""employer who fires an individual merely for being gay or transgender defies the law."" This ruling is consistent with our existing policies and reinforces our enduring advocacy for inclusion and non-discrimination worldwide.",Twitter for Advertisers
1272567381114736640,Bloomberg,140,2020-06-15 16:31:21,0,147,"RT @MikeBloomberg: In a victory for equality everywhere, the Supreme Court ruled it’s illegal for employers to discriminate based on sexual…",Twitter Web App
1271162055450656775,Bloomberg,219,2020-06-11 19:27:05,11,6,"Companies can now submit their gender-related data to be considered for inclusion in the 2021 #BloombergGEI, which tracks the financial performance of public companies most committed to gender equality in the workplace.",Twitter for Advertisers
1268915318438727682,Bloomberg,66,2020-06-05 14:39:21,0,14,RT @BW: New cover. https://t.co/STS8E1iyLn https://t.co/tTqrRrplKw,Twitter Web App
1268521819201568768,Bloomberg,217,2020-06-04 12:35:44,15,9,"For organizations to be truly inclusive, race is a topic that needs to be addressed openly &amp; often. 5,000+ employees joined our diversity and inclusion team for this candid conversation. Here's what was discussed.",Twitter for Advertisers
1267537932367396865,Bloomberg,242,2020-06-01 19:26:07,31,13,"In a memo to global employees, @MikeBloomberg said: ""We must stand together in our condemnation of all bias and discrimination, and we must work together to address them wherever they appear... It's up to all of us.""  Read the full note here:",Twitter for Advertisers
1266390484274069506,Bloomberg,139,2020-05-29 15:26:34,0,126,"RT @MikeBloomberg: Running a small business is always tough—but perhaps never tougher than right now. 

But small businesses are still the…",Twitter Web App
1265710567488212992,Bloomberg,121,2020-05-27 18:24:49,14,1,"If you don't include everyone, you don't know what you're missing.
#RepresentAsian #AsianHeritageMonth #InclusionInAction",Twitter for Advertisers
1263101441905954816,Bloomberg,140,2020-05-20 13:37:05,0,5,RT @BloombergCareer: Reporting the news and informing the public is critically important during these uncertain times. Here's how our journ…,Twitter Web App
1262790659376848896,Bloomberg,140,2020-05-19 17:02:09,0,7,"RT @TheTerminal: We have announced the launch of the Bloomberg US Multi-Asset Indices, which are comprised of Bloomberg indices across majo…",Twitter Web App
1262753635353497602,Bloomberg,219,2020-05-19 14:35:02,7,3,"The £11m represents over 1,100 grants that have been awarded across every London borough, focusing on priority areas identified through listening to communities and civil society groups. #COVID19 https://t.co/PQHHdAGBHf",Khoros Marketing
