id,author,length,created_at,like_count,retweet_count,full_text,source
1274835211134607368,BreitbartNews,53,2020-06-21 22:42:54,74,29,This is De Blasio's New York. https://t.co/eGF3CFOU5N,SocialFlow
1274829695830364164,BreitbartNews,124,2020-06-21 22:20:59,87,45,"Brett Favre believes Colin Kaepernick, like Army Ranger Pat Tillman, will be thought of as a “hero.” https://t.co/FQTYIIbiVs",SocialFlow
1274825123292463104,BreitbartNews,237,2020-06-21 22:02:49,74,24,"Actor Ansel Elgort has vehemently denied allegations of sexual misconduct after a woman accused him of assaulting her back in 2014 when she was 17, claiming her “description of events is simply not what happened.” https://t.co/tpeL5T4WvR",SocialFlow
1274820531083251714,BreitbartNews,65,2020-06-21 21:44:34,638,254,"Float like a butterfly, sting like a bee! https://t.co/V0CpDKjrhA",SocialFlow
1274815967068131334,BreitbartNews,120,2020-06-21 21:26:26,1236,625,Where are the protests against the failed Democrat leadership in the hellscape known as Chicago? https://t.co/uwJ6Ah2UIA,SocialFlow
1274804848878329859,BreitbartNews,251,2020-06-21 20:42:15,1261,810,"Rep. Alexandria Ocasio-Cortez (D-NY) openly cheered reports of teenagers and Korean pop music fans using the Chinese-owned app TikTok to sign up for President Trump’s campaign rally in Tulsa, Oklahoma, and inflate RSVP numbers. https://t.co/BbYi5HwjJU",SocialFlow
1274797380299341825,BreitbartNews,190,2020-06-21 20:12:34,2508,828,President Trump says it is “common sense” to reduce overall immigration to the United States while more than 30 million Americans are jobless and want full-time work. https://t.co/l64isyPo5f,SocialFlow
1274780866783465472,BreitbartNews,52,2020-06-21 19:06:57,470,252,Will this make Philly safer? https://t.co/SB2oLZYSHL,SocialFlow
1274765730261671938,BreitbartNews,209,2020-06-21 18:06:48,551,179,"Trump Campaign Manager Brad Parscale berated the media for savaging the campaign’s small crowd size in Tulsa on Saturday, despite boasting a million campaign ticket requests beforehand. https://t.co/5jY00lTSLE",SocialFlow
1274759546981027840,BreitbartNews,186,2020-06-21 17:42:14,776,482,"The woman wanted for torching a Wendy’s in Atlanta where Rayshard Brooks was killed might have been romantically involved with him, according to multiple reports. https://t.co/TS2PmkGeS0",SocialFlow
1274748188944207873,BreitbartNews,51,2020-06-21 16:57:06,940,279,Pencil Neck still believes! https://t.co/Q5zmPoeEkr,SocialFlow
1274745495068577798,BreitbartNews,140,2020-06-21 16:46:24,0,441,"RT @NolteNC: ""Remember when National Review’s Rich Lowry reassured us we were stupid alarmists for fearing the Woke Taliban would target th…",Twitter for iPhone
1274743253301186560,BreitbartNews,65,2020-06-21 16:37:29,1446,543,"Float like a butterfly, sting like a bee! https://t.co/T8iVXKuHrK",SocialFlow
