id,author,length,created_at,like_count,retweet_count,full_text,source
1274834989121765378,PalmerReport,88,2020-06-21 22:42:01,36,9,Trump suffers humiliatingly senile moment during his Tulsa rally https://t.co/kl6xX0ZkWR,Buffer
1274834203704807425,PalmerReport,174,2020-06-21 22:38:54,209,43,"Ted Lieu has been hammering Donald Trump from day one. Ted is absolutely fearless. It's nice to see him getting the attention and credit he deserves.

https://t.co/EP6gYlD68E",Twitter Web App
1274833454279122956,PalmerReport,128,2020-06-21 22:35:55,0,20,RT @lindaha96123336: Ivanka Trump and Jared Kushner flip out as everything falls apart https://t.co/T6TgOgyQpQ via @PalmerReport,Twitter Web App
1274832866703278080,PalmerReport,95,2020-06-21 22:33:35,0,11,RT @doxiedachsie: Donald Trump looks totally defeated https://t.co/RF6tUhbowt via @PalmerReport,Twitter Web App
1274826945344294916,PalmerReport,89,2020-06-21 22:10:03,215,67,Ivanka Trump and Jared Kushner flip out as everything falls apart https://t.co/MRwrxycauS,palmerreport
1274817371165818886,PalmerReport,67,2020-06-21 21:32:00,66,23,This shouldn’t come as a surprise to anyone https://t.co/Yybkue8TQa,Buffer
1274814590195503106,PalmerReport,57,2020-06-21 21:20:57,426,126,Ted Lieu just buried Donald Trump https://t.co/EP6gYlD68E,palmerreport
1274811907439038476,PalmerReport,249,2020-06-21 21:10:18,872,258,"Trump still hasn't tweeted anything. He must be locked in the underground bunker, covered in cheeto dust, screaming at Fox News, crying about his collapsing popularity, and wishing he'd never run for president to begin with.

https://t.co/rT6afVnHkQ",Twitter Web App
1274811447000907777,PalmerReport,74,2020-06-21 21:08:28,87,33,Trump just heaped dirt on his own campaign’s grave https://t.co/7Pj8BFZTBd,Twitter Web App
1274808880103665669,PalmerReport,93,2020-06-21 20:58:16,0,22,RT @mikeys6969: Donald Trump looks totally defeated https://t.co/UyzbkCPxic via @PalmerReport,Twitter for iPhone
1274805262197690378,PalmerReport,93,2020-06-21 20:43:53,0,23,RT @joemac1114: Donald Trump looks totally defeated https://t.co/e9ETetKgYE via @PalmerReport,Twitter for iPhone
1274805257307148295,PalmerReport,93,2020-06-21 20:43:52,0,36,RT @TekStol: Al Franken just destroyed Donald Trump https://t.co/pclNjQT3i0 via @PalmerReport,Twitter for iPhone
1274805157193224194,PalmerReport,140,2020-06-21 20:43:28,0,24,"RT @CassieLenelle: Donald Trump suffered a humiliatingly senile moment during his Tusla rally -
Palmer Report
An analysis by Bill Palmer ✒️…",Twitter for iPhone
1274804986833260545,PalmerReport,93,2020-06-21 20:42:48,0,20,RT @klassalle: Donald Trump really is going to prison - Palmer Report https://t.co/mhNLlzWkBG,Twitter for iPhone
1274804803126919168,PalmerReport,91,2020-06-21 20:42:04,0,11,RT @BrigidBrown1: This shouldn't come as a surprise - Palmer Report https://t.co/ZRa7dGOhYd,Twitter for iPhone
1274800551985917952,PalmerReport,92,2020-06-21 20:25:10,0,9,RT @gritslady: Donald Trump looks totally defeated https://t.co/5uz0dBVcTA via @PalmerReport,Twitter for iPhone
1274800498776907778,PalmerReport,119,2020-06-21 20:24:58,0,21,RT @KAYLEEBURRIS: Chris Wallace destroys lying Donald Trump stooge on the air https://t.co/GJVjsjKmUs via @PalmerReport,Twitter for iPhone
1274800477373435907,PalmerReport,93,2020-06-21 20:24:53,0,31,RT @KevTKel: Al Franken just destroyed Donald Trump https://t.co/fpZsLcAPMi via @PalmerReport,Twitter for iPhone
1274800188167725057,PalmerReport,132,2020-06-21 20:23:44,0,13,RT @JuliaAdair: Donald Trump suffered a humiliatingly senile moment during his Tulsa rally https://t.co/nSaHBsRuue via @PalmerReport,Twitter for iPhone
1274796427240255489,PalmerReport,62,2020-06-21 20:08:47,249,65,Al Franken just destroyed Donald Trump https://t.co/LIucNEksGo,palmerreport
1274796216967139331,PalmerReport,192,2020-06-21 20:07:57,176,57,"Donald Trump just just got outdrawn by John Tesh of all people. No offense to John Tesh, but how does the sitting President of the United States lose out to John Tesh?

https://t.co/LIucNEksGo",Twitter Web App
1274781709813284864,PalmerReport,59,2020-06-21 19:10:18,303,89,Donald Trump looks totally defeated https://t.co/qRkfAwmysO,palmerreport
1274776517600579584,PalmerReport,140,2020-06-21 18:49:40,0,4265,"RT @SteveKerr: There were so many directions he could have gone- Covid-19, unemployment, the murder of George Floyd, systemic racism, globa…",Twitter for iPhone
1274774356875522048,PalmerReport,117,2020-06-21 18:41:05,0,47,RT @4evrmomof4: Chris Wallace destroys lying Donald Trump stooge on the air https://t.co/FBt5YfAT0R via @PalmerReport,Twitter for iPhone
1274774324092776451,PalmerReport,75,2020-06-21 18:40:57,0,17,RT @1stSvelteCelt: WHERE’S TRUMP? https://t.co/cC6pk34D1s via @PalmerReport,Twitter for iPhone
1274768809640026113,PalmerReport,38,2020-06-21 18:19:02,195,65,WHERE'S TRUMP? https://t.co/rT6afVnHkQ,palmerreport
1274764970505523202,PalmerReport,118,2020-06-21 18:03:47,0,44,RT @KatheleenMitro: Steve Schmidt just made Donald Trump regret going at him https://t.co/PJhj2Kg2He via @PalmerReport,Twitter for iPhone
1274764950590967808,PalmerReport,116,2020-06-21 18:03:42,0,25,RT @azeeestor: Chris Wallace destroys lying Donald Trump stooge on the air https://t.co/jmHCT2hzxS via @PalmerReport,Twitter for iPhone
1274760811790155776,PalmerReport,115,2020-06-21 17:47:16,0,44,RT @Lizzy047: Chris Wallace destroys lying Donald Trump stooge on the air https://t.co/24R7605EtO via @PalmerReport,Twitter for iPhone
1274755101748535296,PalmerReport,83,2020-06-21 17:24:34,371,103,Chris Wallace destroys lying Donald Trump stooge on the air https://t.co/OUMkMdKeW2,palmerreport
1274753877607428096,PalmerReport,113,2020-06-21 17:19:42,0,14,RT @Danenski: Donald Trump just heaped dirt on his own campaign’s grave https://t.co/Wg2XgD0oQO via @PalmerReport,Twitter for iPhone
1274753854853255169,PalmerReport,96,2020-06-21 17:19:37,0,26,RT @Mike_EH_52: Donald Trump really is going to prison https://t.co/Y4CJYgDaTD via @PalmerReport,Twitter for iPhone
1274753843465723905,PalmerReport,94,2020-06-21 17:19:34,0,15,RT @wemadethewave: This shouldn’t come as a surprise https://t.co/1zkbF77VyJ via @PalmerReport,Twitter for iPhone
1274748224587337730,PalmerReport,130,2020-06-21 16:57:15,0,45,RT @Lizzy047: Donald Trump suffered a humiliatingly senile moment during his Tulsa rally https://t.co/S22mayt76y via @PalmerReport,Twitter for iPhone
1274748216307826691,PalmerReport,96,2020-06-21 16:57:13,0,12,RT @adrienneborszek: This shouldn’t come as a surprise https://t.co/Ezg2Zjoz1s via @PalmerReport,Twitter for iPhone
1274748207038373888,PalmerReport,114,2020-06-21 16:57:10,0,10,RT @gritslady: Donald Trump just heaped dirt on his own campaign’s grave https://t.co/C12BwI7MRo via @PalmerReport,Twitter for iPhone
1274744182972846080,PalmerReport,89,2020-06-21 16:41:11,0,15,RT @TekStol: Donald Trump Jr just stepped in it https://t.co/fm0aKFPnUh via @PalmerReport,Twitter for iPhone
1274744176165433344,PalmerReport,115,2020-06-21 16:41:09,0,21,RT @HollyHuntley3: Donald Trump is in for the biggest letdown of his life https://t.co/MmeMeJppSw via @PalmerReport,Twitter for iPhone
1274744154938126338,PalmerReport,128,2020-06-21 16:41:04,0,25,RT @Nica24: Donald Trump suffered a humiliatingly senile moment during his Tulsa rally https://t.co/XoTjpDkqgw via @PalmerReport,Twitter for iPhone
1274736624925114368,PalmerReport,98,2020-06-21 16:11:09,158,60,Donald Trump suffered a humiliatingly senile moment during his Tulsa rally https://t.co/q92enGtiPP,palmerreport
1274733451724435460,PalmerReport,25,2020-06-21 15:58:32,857,192,👀 https://t.co/uCXYmXRYpW,Twitter for iPhone
1274732156242268161,PalmerReport,113,2020-06-21 15:53:24,0,14,RT @MoroZane: Donald Trump just heaped dirt on his own campaign’s grave https://t.co/8QnEpXWS9b via @PalmerReport,Twitter for iPhone
1274732108167208960,PalmerReport,89,2020-06-21 15:53:12,0,11,RT @MoroZane: This shouldn’t come as a surprise https://t.co/iuMfqMycjF via @PalmerReport,Twitter for iPhone
1274732091029282816,PalmerReport,140,2020-06-21 15:53:08,0,15,RT @JuliaAdair: Everyone piles on after Donald Trump inexplicably tweets photos that give away just how empty his rally was https://t.co/zd…,Twitter for iPhone
1274713946445012994,PalmerReport,57,2020-06-21 14:41:02,74,32,This shouldn't come as a surprise https://t.co/iQiHeSqvJP,palmerreport
1274694056933838848,PalmerReport,67,2020-06-21 13:22:00,223,75,"Yep, Donald Trump really is going to prison https://t.co/f2XyTBAI6g",Buffer
1274693390559580160,PalmerReport,81,2020-06-21 13:19:21,150,53,Donald Trump just heaped dirt on his own campaign's grave https://t.co/ol4wZ0FOhB,palmerreport
1274689023622164480,PalmerReport,73,2020-06-21 13:02:00,229,55,"Trump is having a no good, horrible, very bad day https://t.co/j5nEk87SQB",Buffer
1274678958030807041,PalmerReport,124,2020-06-21 12:22:00,205,59,Everyone piles on after Trump inexplicably tweets photos that give away just how empty his rally was https://t.co/cHCaeLtArM,Buffer
1274594753728991234,PalmerReport,33,2020-06-21 06:47:24,1910,595,HOLY SHIT https://t.co/HjC2wF9o6k,Twitter for iPhone
1274593367519887360,PalmerReport,140,2020-06-21 06:41:54,0,54,RT @gritslady: Everyone piles on after Donald Trump inexplicably tweets photos that give away just how empty his rally was https://t.co/rQF…,Twitter for iPhone
